id,name,region,rating,category,address,description,price,popularity
210,戒台寺,门头沟,0.7,4A景区,北京市门头沟区永定镇戒台寺,到戒台寺，感受辽代佛教文化,40.0,42
211,小汤山温泉度假区,昌平,0.7,\N,北京市昌平区小汤山现代农业科技示范园内,景色宜人，环境舒适,65.0,12
212,温都水城,昌平,0.7,4A景区,北京市昌平区北七家镇郑各庄村王府街55号,温泉健康养生，畅享水上嘉年华,128.0,124
215,百花山,门头沟,0.7,3A景区,北京市门头沟区清水镇百花山林场（门头沟与房山交接处）,秋色金黄枫独红，斜阳投射静悄悄,3.8,6
216,冶仙塔,密云,0.7,\N,北京市密云县檀营乡檀营村冶山,密云外八景之一,48.0,42
218,玉渡山,延庆,0.7,\N,北京市延庆县张山营镇玉皇庙村东,延庆县城西北山中的玉渡山自然风景区,55.0,240
219,云居寺,房山,0.7,4A景区,北京市房山区云居寺路大石窝镇水屯村口,蕴涵着浓郁的佛教文化特色,35.0,64
224,灵山,门头沟,0.7,\N,北京市门头沟区清水镇西北,凉风习习，心惬意,80.0,28
225,云岫谷游猎,密云,0.7,\N,北京市密云县新城子乡遥桥峪村,国内的异域情调，一寨两国瑞丽江,299.0,90
226,凤凰岭,海淀,0.7,4A景区,北京市海淀区苏家坨镇凤凰岭路19号,远郊的景，近郊的路，北京自然大空调,21.9,28
233,鲁迅博物馆,西城,0.7,\N,北京市西城区阜成门内大街宫门口内二条19号,生动形象地展现了鲁迅不朽的―生,39.0,37
256,金水湖景区,房山,0.7,\N,北京市房山区霞云岭乡,构成了“绿色观光走廊、红色旅游胜地”,39.0,55
261,云龙涧,密云,0.7,3A景区,北京市密云县北白岩村北,几千年的深厚文化底蕴展现在世人面前,30.0,70
270,白云观,西城,0.74,\N,北京市西城区白云观街9号,白云观内外绿树成荫，清新幽静，流连忘返,3.0,4
274,古陶文明博物馆,西城,0.7,\N,北京市西城区右安门内西街12号,陶文化专题的博物馆，完整生动的古陶文明史,25.0,4
284,老象峰,平谷,0.7,\N,北京市平谷区大华山镇小峪子村北5号,因神象巨峰而得名，森林茂密百花争艳,24.9,6
289,爨底下村,门头沟,0.7,\N,北京市门头沟区斋堂,周围苍松翠柏，绿树成荫，悦耳的鸟鸣,98.0,10
290,南宫旅游景区,丰台,0.7,4A景区,北京市丰台区王佐镇南宫南路1号,地热资源丰富，温泉纯正，体验绝佳,29.0,38
294,白龙潭,密云,0.7,3A景区,北京密云县太师屯镇龙潭沟,白龙昼饮潭，修尾挂后壁,108.0,53
295,北宫国家森林公园,丰台,0.7,4A景区,北京市丰台区长辛店镇大灰厂东路55号,极似南方特色，胜似画中美景。,0.5,2
296,龙庆峡,延庆,0.7,4A景区,北京市延庆县古城村,古城九曲，带给你柳暗花明又一村的美景,2.0,12
298,团结湖公园,朝阳,0.7,3A景区,北京市朝阳区团结湖南里16号,京城里具有江南古典园林特色的城市公园,48.0,8
300,红螺湖度假区,怀柔,0.7,\N,北京市怀柔区红螺镇村南,湖水荡漾，绿树成荫，山水相依，百鸟争鸣,17.4,8
301,大觉寺,海淀,0.7,\N,北京市海淀区西山大觉寺路9号,以清泉、古树、玉兰闻名,2.0,2
338,上方云水洞,房山,0.7,\N,北京市房山区韩村河镇上过山国家森林公园,著名山水佛教游览胜地,27.0,12
345,青龙湖公园,丰台,0.7,3A景区,北京市丰台区王佐镇青龙湖公园,放飞心情，融入青山绿水，尽享田园风光,28.5,208
451,白虎涧,昌平,0.7,\N,北京市昌平区市阳坊镇,山峦无际，云海无边，石奇谷幽，万木峥嵘,29.0,10
459,白塔寺,西城,0.7,\N,北京市西城区阜成门内大街171号,蓝与绿之间写就辉煌,468.0,2
462,仙居谷,密云,0.7,\N,密云县太师屯镇令公村北,传说是仙女沐浴的地方,28.0,73
871,京东石林峡,平谷,0.7,4A景区,北京市平谷区黄松峪乡雕窝村73号,谷内山峰挺立峭拔，天上美景落人间,58.0,6583
882,中国紫檀博物馆,朝阳,0.7,4A景区,北京市朝阳区建国路23号,博物馆本身就是一件壮观珍贵的工艺品,39.0,44
883,紫竹院公园,海淀,0.72,4A景区,北京市海淀区中关村南大街35号,以竹取胜，深富江林特色，翠竿累万,0.4,32
884,观复古典艺术博物馆,朝阳,0.7,\N,北京市朝阳区大山子张万坟金南路18号,为公益性独立法人，接受社会各界的捐赠,88.0,98
886,太平洋海底世界,海淀,0.7,3A景区,北京市海淀区西三环中路11号中央电视塔下,漫步海底，欣赏五彩缤纷的海底生物,78.01,270
1279,房山世界地质公园,房山,0.7,\N,北京市房山区,绵延百里、蜿蜒曲折、绝壁千仞,36.0,39
1280,仙栖洞,房山,0.7,3A景区,北京市房山区张坊镇东关上村,洞内恒温，支洞遍布，暗河无源,40.5,878
1283,西山国家森林公园,海淀,0.72,\N,北京市海淀区香山南路和闵庄路交汇处向西300米,真正有山有水的森林公园,9.0,138
1401,北京后花园,昌平,0.7,\N,北京市昌平区太行山与燕山交汇处(中关村西北侧 ),四季美景扑面而来,29.0,56
1403,郁金香摩锐温泉水世界,朝阳,0.7,\N,北京市朝阳区东苇路金盏郁金香温泉花园度假村,北方夏威夷，豪华游乐场,59.0,136
1407,响水湖,怀柔,0.7,3A景区,北京市怀柔区响水湖长城旅游风景区,京都养生地,35.0,12
1428,京西十八潭,门头沟,0.7,3A景区,北京市门头沟区王平镇安家庄,谷深、石奇、水特、花异,29.9,74
1436,灵水村,门头沟,0.7,\N,北京市门头沟区斋堂镇灵水村,“爸爸去哪儿”的起点,16.0,12
1477,国色天香牡丹园,怀柔,0.7,\N,北京市怀柔区京郊桥梓镇,北京国色天香牡丹园占地2000亩。园内共栽植了中原、西北、江南、西南全国四大牡丹群九大色系的牡丹近600种1000多万株,20.0,95
1479,奥林匹克水上公园,顺义,0.7,4A景区,北京市顺义区白马路19号,古老的东方文明与现代奥林匹克精神的结合,70.0,4
1480,龙门涧,门头沟,0.7,\N,北京市门头沟区清水镇燕家台村,自然、质朴、健康、纯真的生活时尚,29.0,6
1654,798艺术区,朝阳,0.72,\N,北京市朝阳区东北部酒仙桥718大院内,文化艺术资源独特，感受时尚艺术的熏陶,88.0,14
1657,北京中华民族园,朝阳,0.72,\N,北京市朝阳区民族园路1号(健翔桥东路口),中华各民族文化集萃地,78.0,1694
1659,清凉谷风景区,密云,0.7,3A景区,北京市密云县四合堂地区,幽谷听溪，寻芳青岗，释放年轻的自我,30.0,560
1660,八大处公园,石景山,0.72,4A景区,北京市石景山区八达处路3号,有八座古寺而得名，香山外另一爬山绝佳地,58.0,856
1662,怀柔青龙峡,怀柔,0.7,4A景区,北京市怀柔区怀北镇大水峪村北500米,集青山、绿水、古长城于一体的自然风景区,50.0,94
1664,金海湖风景区,平谷,0.7,4A景区,北京市平谷区东南盘山脚下海子村,峰峦叠翠，野卉生香，云影波光，美景如画,31.8,842
1665,雁栖湖旅游区,怀柔,0.7,4A景区,北京市怀柔区雁水路3号,你和鱼儿都喜欢的纯净圣地,29.9,874
2403,京西古道,门头沟,0.7,\N,北京市门头沟区,具有重要的战略和交通地位,25.0,258
2405,天云山,平谷,0.7,\N,北京市平谷区黄松峪乡飞龙谷境内,好一个北方的张家界，神奇的天云山,73.0,102
2406,银狐洞,房山,0.7,\N,北京市房山区佛子庄乡下英水村,银狐洞发育在5亿年前的奥陶纪与3亿2千万年前的石炭纪交汇处。多层多支，主洞、支洞横洞、竖洞、水洞、旱洞纵横交错，婉蜒曲折,60.0,16
2408,北京野鸭湖国家湿地公园,延庆,0.7,5A景区,北京市延庆县康庄镇西北,北京市市级湿地鸟类自然保护区,24.0,686
2863,云峰山,密云,0.7,3A景区,北京市密云县不老屯镇燕落村,密云水库，一碧万顷，烟波浩淼，无尽诗意,35.0,88
3212,中国人民抗日战争纪念馆,丰台,0.7,4A景区,北京市丰台区卢沟桥宛平城内街101号,中国人民抗日战争纪念馆在北京市丰台区宛平城城内街101号。1987年7月6日“七七事变”爆发50周年前夕落成。由序厅、展,0.6,12
3213,北京植物园,海淀,0.7,4A景区,北京市海淀区卧佛寺路,集科学研究、科学普及和游览功能为一体,0.3,6
3215,陶然亭公园,西城,0.72,4A景区,北京市西城区太平街19号,周侯藉卉之所，右军修禊之地,0.5,26
3222,红螺寺,怀柔,0.7,4A景区,北京市怀柔区怀柔镇卢庄村北红螺东路2号,?“寺古园林大，树古花气浓”,54.0,112
3223,密云黑龙潭,密云,0.7,4A景区,北京市密云县石城镇鹿皮关北,黑龙潭壮美冰瀑名不虚传~,59.0,36
3224,双龙峡自然风景区,门头沟,0.7,3A景区,北京市门头沟区斋堂镇火村双龙峡景区,水潭、绿谷、红岩组成一幅幅靓丽的美景,72.0,158
3962,天安门端门,东城,0.7,\N,北京天安门城楼与故宫之间,明代紫禁城的正门之一，也是清代皇城的正门,58.0,12
3971,圣莲山,房山,0.7,4A景区,北京市房山区史家营乡柳林水村,雄、险、奥、绝、秀，素有京西小五岳之美誉,47.0,224
3974,京东大溶洞,平谷,0.7,\N,北京市平谷区黄松峪乡黑豆峪村东侧,畅游其间，神秘清幽，奇观绝景连绵不断,75.0,234
3983,石花洞国家地质公园,房山,0.7,4A景区,北京市房山区河北镇南车营村,探索北京的地下明珠,65.0,76
3986,纪晓岚故居,西城,0.7,\N,北京市西城区（原宣武区）珠市口西大街241号,去名人故居感受时代变迁,5.0,4
3989,北京古代钱币博物馆,西城,0.7,3A景区,北京市西城区北二环中路德胜门东大街9号,每一次币制的变化无不影响历史的进程,19.0,2
3990,京东大峡谷,平谷,0.7,4A景区,北京市平谷区山东庄镇鱼子山村,高崖形如壁立，直刺青天，峡谷狭险幽深,72.4,86
